Connecting to IBKR...
Successfully connected to IBKR on port 7497!
[IBKR Sync] Live Account Net Liquidation: $3052.56

===================================================================================================================
    INTELLIGENT FPBV BOT SCAN: PHASE 2 | CASH: $3052.56 | DEBT PAID: True
===================================================================================================================

===================================================================================================================
Ticker   | Close    | RSI    | EMA_20   | Signal          | Trade Details
ELV      | $410.36  | 57.8   | $388.28  | HOLD            | No trade setup.
EA       | $203.57  | 75.7   | $201.67  | HOLD            | No trade setup.
ECL      | $254.57  | 56.7   | $255.40  | HOLD            | No trade setup.
EQT      | $55.15   | 43.7   | $56.29   | HOLD            | No trade setup.
EPAM     | $98.05   | 60.2   | $103.12  | HOLD            | No trade setup.
EMR      | $142.38  | 59.2   | $139.41  | HOLD            | No trade setup.
EOG      | $140.59  | 57.3   | $137.78  | HOLD            | No trade setup.
EFX      | $171.40  | 68.3   | $168.48  | HOLD            | No trade setup.
EXE      | $93.37   | 41.2   | $94.98   | HOLD            | No trade setup.
FAST     | $47.27   | 71.8   | $44.75   | HOLD            | No trade setup.
XOM      | $152.27  | 50.7   | $151.37  | HOLD            | No trade setup.
FICO     | $1168.72 | 60.9   | $1188.14 | HOLD            | No trade setup.
FDX      | $329.45  | 67.0   | $319.32  | HOLD            | No trade setup.
FDS      | $255.27  | 78.7   | $236.62  | HOLD            | No trade setup.
FFIV     | $406.33  | 75.5   | $378.83  | HOLD            | No trade setup.
FSLR     | $318.71  | 86.7   | $268.94  | HOLD            | No trade setup.
FTNT     | $149.13  | 80.2   | $128.65  | HOLD            | No trade setup.
FOX      | $58.83   | 50.8   | $58.09   | HOLD            | No trade setup.
FCX      | $69.94   | 57.7   | $65.28   | HOLD            | No trade setup.
FTV      | $61.48   | 64.9   | $59.72   | HOLD            | No trade setup.
FOXA     | $65.73   | 51.4   | $64.82   | HOLD            | No trade setup.
GE       | $327.60  | 73.3   | $308.77  | HOLD            | No trade setup.
GRMN     | $241.99  | 58.5   | $238.94  | HOLD            | No trade setup.
GEV      | $963.26  | 28.8   | $1009.78 | HOLD            | No trade setup.
GNRC     | $279.13  | 51.3   | $267.01  | HOLD            | No trade setup.
GEHC     | $63.80   | 55.5   | $63.38   | HOLD            | No trade setup.
HSIC     | $76.38   | 80.8   | $74.71   | HOLD            | No trade setup.
GPC      | $97.80   | 51.6   | $99.13   | HOLD            | No trade setup.
GILD     | $129.46  | 43.9   | $131.91  | HOLD            | No trade setup.
HIG      | $127.10  | 32.6   | $130.95  | HOLD            | No trade setup.
GL       | $154.24  | 49.6   | $153.22  | HOLD            | No trade setup.
HPE      | $54.06   | 84.5   | $40.48   | HOLD            | No trade setup.
HSY      | $181.35  | 40.9   | $189.19  | HOLD            | No trade setup.
HCA      | $363.00  | 2.1    | $397.12  | HOLD            | No trade setup.
HST      | $24.38   | 82.4   | $22.69   | HOLD            | No trade setup.
HPQ      | $26.23   | 68.6   | $24.16   | HOLD            | No trade setup.
IDXX     | $563.37  | 65.7   | $557.46  | HOLD            | No trade setup.
IEX      | $216.34  | 58.1   | $210.59  | HOLD            | No trade setup.
IR       | $72.35   | 51.8   | $72.67   | HOLD            | No trade setup.
INCY     | $100.93  | 58.5   | $97.05   | HOLD            | No trade setup.
PODD     | $147.79  | 48.9   | $153.59  | HOLD            | No trade setup.
ICE      | $142.01  | 24.7   | $149.46  | HOLD            | No trade setup.
INTU     | $303.33  | 35.0   | $345.71  | HOLD            | No trade setup.
IP       | $33.65   | 65.6   | $32.57   | HOLD            | No trade setup.
JNJ      | $228.07  | 47.7   | $227.11  | HOLD            | No trade setup.
JKHY     | $131.28  | 45.8   | $138.91  | HOLD            | No trade setup.
JCI      | $147.51  | 53.2   | $140.32  | HOLD            | No trade setup.
IVZ      | $28.23   | 55.4   | $27.26   | HOLD            | No trade setup.
ISRG     | $418.43  | 45.6   | $429.17  | HOLD            | No trade setup.
IFF      | $73.31   | 41.7   | $74.73   | HOLD            | No trade setup.
KVUE     | $16.80   | 39.3   | $17.25   | HOLD            | No trade setup.
KEYS     | $344.39  | 41.6   | $344.78  | HOLD            | No trade setup.
J        | $123.46  | 77.0   | $119.42  | HOLD            | No trade setup.
KLAC     | $2132.41 | 66.8   | $1922.62 | HOLD            | No trade setup.
KHC      | $22.50   | 40.0   | $23.33   | HOLD            | No trade setup.
LH       | $260.91  | 60.7   | $258.12  | HOLD            | No trade setup.
LRCX     | $339.48  | 68.0   | $307.71  | HOLD            | No trade setup.
LII      | $518.08  | 51.5   | $504.80  | HOLD            | No trade setup.
LIN      | $507.08  | 46.2   | $504.77  | HOLD            | No trade setup.
LLY      | $1125.21 | 71.1   | $1045.45 | HOLD            | No trade setup.
L        | $105.10  | 49.8   | $106.21  | HOLD            | No trade setup.
LOW      | $208.07  | 28.5   | $217.43  | HOLD            | No trade setup.
LULU     | $123.84  | 55.5   | $129.36  | HOLD            | No trade setup.
MLM      | $580.53  | 52.4   | $574.74  | HOLD            | No trade setup.
MAR      | $385.54  | 76.2   | $369.85  | HOLD            | No trade setup.
MCD      | $272.77  | 49.5   | $278.65  | HOLD            | No trade setup.
MRSH     | $160.79  | 51.4   | $162.76  | HOLD            | No trade setup.
LITE     | $952.84  | 46.1   | $925.63  | HOLD            | No trade setup.
MKC      | $46.80   | 51.9   | $47.39   | HOLD            | No trade setup.
META     | $624.13  | 52.5   | $618.27  | HOLD            | No trade setup.
MDT      | $81.47   | 63.2   | $77.58   | HOLD            | No trade setup.
MTD      | $1178.90 | 77.1   | $1153.53 | HOLD            | No trade setup.
MRK      | $120.49  | 61.4   | $116.27  | HOLD            | No trade setup.
MU       | $1017.39 | 70.6   | $853.82  | HOLD            | No trade setup.
MSFT     | $427.91  | 58.6   | $425.06  | HOLD            | No trade setup.
MSCI     | $620.67  | 69.2   | $602.05  | HOLD            | No trade setup.
TAP      | $38.22   | 35.5   | $40.43   | HOLD            | No trade setup.
MNST     | $88.67   | 60.7   | $86.12   | HOLD            | No trade setup.
MPWR     | $1653.14 | 52.9   | $1589.56 | HOLD            | No trade setup.
MDLZ     | $60.94   | 49.7   | $61.10   | HOLD            | No trade setup.
NDAQ     | $88.85   | 43.5   | $89.98   | HOLD            | No trade setup.
NTAP     | $177.77  | 87.4   | $145.22  | HOLD            | No trade setup.
NWS      | $30.76   | 55.5   | $30.17   | HOLD            | No trade setup.
NFLX     | $81.61   | 30.0   | $86.85   | HOLD            | No trade setup.
NEM      | $108.24  | 38.2   | $109.83  | HOLD            | No trade setup.
NWSA     | $26.84   | 55.4   | $26.31   | HOLD            | No trade setup.
NKE      | $43.42   | 59.0   | $44.20   | HOLD            | No trade setup.
NDSN     | $286.52  | 56.0   | $284.17  | HOLD            | No trade setup.
NSC      | $304.49  | 38.1   | $310.35  | HOLD            | No trade setup.
ORLY     | $88.10   | 44.1   | $89.75   | HOLD            | No trade setup.
NVR      | $6174.90 | 74.9   | $6087.19 | HOLD            | No trade setup.
NXPI     | $323.80  | 64.2   | $306.63  | HOLD            | No trade setup.
NOC      | $541.60  | 47.7   | $553.61  | HOLD            | No trade setup.
ON       | $132.21  | 62.4   | $116.96  | HOLD            | No trade setup.
ODFL     | $244.55  | 95.7   | $217.90  | HOLD            | No trade setup.
OTIS     | $69.92   | 34.3   | $72.09   | HOLD            | No trade setup.
OXY      | $58.51   | 56.5   | $58.16   | HOLD            | No trade setup.
PKG      | $224.12  | 55.0   | $218.78  | HOLD            | No trade setup.
PLTR     | $142.12  | 57.6   | $142.37  | HOLD            | No trade setup.
PANW     | $279.37  | 66.8   | $251.80  | HOLD            | No trade setup.
PNR      | $72.52   | 40.9   | $74.31   | HOLD            | No trade setup.
PYPL     | $42.88   | 33.8   | $44.80   | HOLD            | No trade setup.
PM       | $175.07  | 21.4   | $178.33  | HOLD            | No trade setup.
PFE      | $25.69   | 48.9   | $25.85   | HOLD            | No trade setup.
POOL     | $182.57  | 62.5   | $185.44  | HOLD            | No trade setup.
PPG      | $112.25  | 63.7   | $109.56  | HOLD            | No trade setup.
PFG      | $103.19  | 62.1   | $101.48  | HOLD            | No trade setup.
PRU      | $103.29  | 54.6   | $100.82  | HOLD            | No trade setup.
PG       | $140.36  | 44.3   | $142.98  | HOLD            | No trade setup.
PSA      | $306.38  | 53.2   | $302.68  | HOLD            | No trade setup.
PTC      | $139.65  | 49.7   | $142.10  | HOLD            | No trade setup.
PHM      | $118.03  | 62.0   | $117.36  | HOLD            | No trade setup.
Q        | $155.14  | 42.1   | $153.24  | HOLD            | No trade setup.
QCOM     | $242.38  | 64.2   | $221.10  | HOLD            | No trade setup.
RL       | $363.96  | 64.1   | $359.65  | HOLD            | No trade setup.
RTX      | $179.11  | 55.9   | $176.87  | HOLD            | No trade setup.
DGX      | $196.30  | 67.7   | $193.28  | HOLD            | No trade setup.
REGN     | $628.23  | 26.9   | $649.51  | HOLD            | No trade setup.
RSG      | $207.94  | 48.8   | $205.92  | HOLD            | No trade setup.
RVTY     | $102.15  | 63.5   | $97.88   | HOLD            | No trade setup.
ROK      | $462.69  | 54.3   | $447.09  | HOLD            | No trade setup.
ROL      | $46.38   | 22.9   | $50.36   | HOLD            | No trade setup.
ROP      | $332.40  | 59.5   | $332.31  | HOLD            | No trade setup.
ROST     | $231.79  | 66.3   | $225.47  | HOLD            | No trade setup.
RMD      | $193.09  | 39.8   | $200.27  | HOLD            | No trade setup.
CRM      | $189.28  | 63.9   | $185.08  | HOLD            | No trade setup.
SNDK     | $1784.25 | 73.3   | $1541.20 | HOLD            | No trade setup.
SPGI     | $420.61  | 61.2   | $418.60  | HOLD            | No trade setup.
NOW      | $120.37  | 68.5   | $108.58  | HOLD            | No trade setup.
SWKS     | $79.90   | 67.7   | $74.52   | HOLD            | No trade setup.
SNA      | $378.42  | 63.7   | $370.72  | HOLD            | No trade setup.
SJM      | $100.96  | 55.0   | $100.69  | HOLD            | No trade setup.
SWK      | $79.36   | 57.3   | $77.82   | HOLD            | No trade setup.
SYK      | $300.39  | 45.8   | $305.77  | HOLD            | No trade setup.
STE      | $212.18  | 43.4   | $213.59  | HOLD            | No trade setup.
TTWO     | $217.39  | 24.7   | $223.59  | HOLD            | No trade setup.
TROW     | $107.15  | 72.4   | $103.34  | HOLD            | No trade setup.
TER      | $407.22  | 64.1   | $372.36  | HOLD            | No trade setup.
TDY      | $619.03  | 43.1   | $622.65  | HOLD            | No trade setup.
TXN      | $305.05  | 48.4   | $299.05  | HOLD            | No trade setup.
TGT      | $124.55  | 52.7   | $124.90  | HOLD            | No trade setup.
TEL      | $220.78  | 68.3   | $210.84  | HOLD            | No trade setup.
TT       | $463.30  | 39.6   | $460.84  | HOLD            | No trade setup.
TKO      | $201.89  | 59.5   | $195.61  | HOLD            | No trade setup.
TTD      | $21.17   | 53.4   | $21.81   | HOLD            | No trade setup.
TRV      | $294.24  | 44.6   | $297.67  | HOLD            | No trade setup.
TMO      | $481.32  | 66.5   | $470.37  | HOLD            | No trade setup.
TJX      | $158.06  | 70.1   | $155.09  | HOLD            | No trade setup.
TYL      | $307.74  | 53.9   | $315.06  | HOLD            | No trade setup.
TRMB     | $56.21   | 52.0   | $57.77   | HOLD            | No trade setup.
UBER     | $72.17   | 40.9   | $72.93   | HOLD            | No trade setup.
ULTA     | $463.53  | 36.9   | $502.19  | HOLD            | No trade setup.
UPS      | $109.83  | 85.2   | $103.73  | HOLD            | No trade setup.
UAL      | $104.72  | 60.1   | $103.14  | HOLD            | No trade setup.
UNP      | $261.55  | 43.6   | $264.60  | HOLD            | No trade setup.
URI      | $1084.06 | 75.7   | $975.43  | HOLD            | No trade setup.
UHS      | $142.67  | 11.2   | $156.67  | HOLD            | No trade setup.
VEEV     | $178.25  | 68.1   | $169.32  | HOLD            | No trade setup.
VLTO     | $85.03   | 49.1   | $85.33   | HOLD            | No trade setup.
VRSN     | $294.18  | 51.6   | $293.03  | HOLD            | No trade setup.
VRSK     | $180.19  | 81.1   | $174.84  | HOLD            | No trade setup.
VTRS     | $15.93   | 34.1   | $15.98   | HOLD            | No trade setup.
VZ       | $44.96   | 34.1   | $47.35   | HOLD            | No trade setup.
V        | $320.32  | 47.6   | $322.48  | HOLD            | No trade setup.
VRTX     | $444.81  | 46.5   | $436.92  | HOLD            | No trade setup.
WRB      | $66.22   | 50.9   | $66.01   | HOLD            | No trade setup.
VMC      | $282.59  | 57.8   | $278.01  | HOLD            | No trade setup.
GWW      | $1290.06 | 52.3   | $1241.76 | HOLD            | No trade setup.
WMT      | $117.58  | 25.3   | $121.98  | HOLD            | No trade setup.
DIS      | $99.36   | 31.6   | $102.58  | HOLD            | No trade setup.
WBD      | $27.00   | 46.6   | $27.11   | HOLD            | No trade setup.
WST      | $316.21  | 67.5   | $310.82  | HOLD            | No trade setup.
WAB      | $262.23  | 42.5   | $261.44  | HOLD            | No trade setup.
WDC      | $580.13  | 73.9   | $510.15  | HOLD            | No trade setup.
WSM      | $208.42  | 83.6   | $194.15  | HOLD            | No trade setup.
WTW      | $257.86  | 61.3   | $257.23  | HOLD            | No trade setup.
XYL      | $109.70  | 52.5   | $110.79  | HOLD            | No trade setup.
WDAY     | $148.80  | 70.3   | $134.72  | HOLD            | No trade setup.
ZBH      | $86.59   | 66.0   | $84.56   | HOLD            | No trade setup.
ZBRA     | $246.65  | 41.0   | $245.12  | HOLD            | No trade setup.
===================================================================================================================

Paper trading execution sweep complete.
Connecting to IBKR...
Successfully connected to IBKR on port 7497!
[IBKR Sync] Live Account Net Liquidation: $3052.56

===================================================================================================================
    INTELLIGENT FPBV BOT SCAN: PHASE 0 | CASH: $3052.56 | DEBT PAID: False
===================================================================================================================
>>> PHASE TRANSITION: Cash reached $3052.56. Graduating to Phase 1 (Standard Options Sizing).

===================================================================================================================
Ticker   | Close    | RSI    | EMA_20   | Signal          | Trade Details
-------------------------------------------------------------------------------------------------------------------
SOXL     | $191.76  | 55.6   | $203.60  | HOLD            | No trade setup.
TQQQ     | $73.77   | 47.4   | $78.31   | HOLD            | No trade setup.
NVDA     | $206.12  | 34.9   | $214.86  | HOLD            | No trade setup.
AVGO     | $389.48  | 40.3   | $428.05  | HOLD            | No trade setup.
ENPH     | $56.98   | 53.4   | $58.11   | HOLD            | No trade setup.
RYCEY    | $16.70   | 65.5   | $16.78   | HOLD            | No trade setup.
GME      | $21.58   | 49.8   | $22.21   | HOLD            | No trade setup.
MVIS     | $0.39    | 28.0   | $0.56    | HOLD            | Oversold stock (28.0) bypassed: no upcoming earnings catalyst in catalysts database.
VRT      | $300.58  | 23.9   | $325.85  | HOLD            | Oversold stock (23.9) bypassed: no upcoming earnings catalyst in catalysts database.
HUBB     | $476.16  | 48.8   | $481.98  | HOLD            | No trade setup.
PH       | $878.40  | 56.2   | $867.65  | HOLD            | No trade setup.
HWM      | $251.16  | 39.8   | $255.24  | HOLD            | No trade setup.
ABT      | $91.20   | 71.0   | $88.19   | HOLD            | No trade setup.
AFL      | $118.09  | 56.2   | $114.98  | HOLD            | No trade setup.
ADBE     | $250.34  | 51.5   | $251.69  | HOLD            | No trade setup.
ACN      | $178.20  | 57.9   | $180.00  | HOLD            | No trade setup.
ABNB     | $132.98  | 50.2   | $134.61  | HOLD            | No trade setup.
A        | $135.05  | 83.4   | $125.41  | HOLD            | No trade setup.
GOOGL    | $365.16  | 29.0   | $376.29  | HOLD            | Oversold stock (29.0) bypassed: no upcoming earnings catalyst in catalysts database.
AOS      | $57.43   | 58.8   | $57.85   | HOLD            | No trade setup.
ALGN     | $167.64  | 60.9   | $167.44  | HOLD            | No trade setup.
ABBV     | $226.99  | 71.8   | $214.97  | HOLD            | No trade setup.
ALLE     | $129.87  | 64.6   | $131.50  | HOLD            | No trade setup.
AMD      | $471.94  | 59.9   | $467.67  | HOLD            | No trade setup.
ALL      | $219.92  | 53.9   | $212.62  | HOLD            | No trade setup.
AMZN     | $247.34  | 36.3   | $260.68  | HOLD            | No trade setup.
MO       | $72.31   | 46.4   | $70.96   | HOLD            | No trade setup.
GOOG     | $362.46  | 28.4   | $372.94  | HOLD            | Oversold stock (28.4) bypassed: no upcoming earnings catalyst in catalysts database.
AIG      | $75.48   | 47.8   | $75.36   | HOLD            | No trade setup.
AAPL     | $308.20  | 59.5   | $302.70  | HOLD            | No trade setup.
AME      | $226.61  | 48.0   | $227.54  | HOLD            | No trade setup.
ADI      | $406.03  | 46.8   | $411.00  | HOLD            | No trade setup.
APH      | $138.68  | 63.8   | $139.26  | HOLD            | No trade setup.
AON      | $329.02  | 61.9   | $320.04  | HOLD            | No trade setup.
AMP      | $453.45  | 38.1   | $453.92  | HOLD            | No trade setup.
AMAT     | $459.08  | 56.4   | $449.38  | HOLD            | No trade setup.
APA      | $36.69   | 39.4   | $37.89   | HOLD            | No trade setup.
APP      | $549.72  | 60.4   | $535.22  | HOLD            | No trade setup.
ACGL     | $90.81   | 39.8   | $91.98   | HOLD            | No trade setup.
ANET     | $153.70  | 59.0   | $157.89  | HOLD            | No trade setup.
ADSK     | $229.48  | 45.1   | $237.36  | HOLD            | No trade setup.
AJG      | $215.60  | 68.3   | $206.04  | HOLD            | No trade setup.
BKR      | $62.71   | 46.5   | $64.72   | HOLD            | No trade setup.
T        | $22.82   | 35.6   | $24.54   | HOLD            | No trade setup.
AVY      | $154.37  | 48.0   | $157.80  | HOLD            | No trade setup.
ADP      | $232.80  | 67.7   | $221.90  | HOLD            | No trade setup.
TECH     | $51.58   | 76.4   | $50.03   | HOLD            | No trade setup.
BIIB     | $196.32  | 55.3   | $193.14  | HOLD            | No trade setup.
BRK-B    | $488.60  | 55.3   | $478.70  | HOLD            | No trade setup.
BBY      | $71.14   | 75.8   | $66.75   | HOLD            | No trade setup.
BDX      | $151.58  | 69.6   | $147.64  | HOLD            | No trade setup.
BR       | $151.51  | 58.2   | $152.21  | HOLD            | No trade setup.
BKNG     | $165.15  | 68.1   | $165.33  | HOLD            | No trade setup.
BSX      | $48.47   | 37.7   | $52.31   | HOLD            | No trade setup.
BLK      | $995.22  | 32.0   | $1041.10 | HOLD            | No trade setup.
BRO      | $58.80   | 59.5   | $57.70   | HOLD            | No trade setup.
BF-B     | $26.00   | 46.4   | $25.88   | HOLD            | No trade setup.
CPB      | $21.58   | 73.2   | $20.84   | HOLD            | No trade setup.
CDNS     | $376.82  | 59.9   | $374.79  | HOLD            | No trade setup.
CF       | $114.24  | 29.6   | $118.59  | HOLD            | Oversold stock (29.6) bypassed: no upcoming earnings catalyst in catalysts database.
CBOE     | $281.64  | 16.1   | $320.60  | HOLD            | Oversold stock (16.1) bypassed: no upcoming earnings catalyst in catalysts database.
CARR     | $66.93   | 56.7   | $65.16   | HOLD            | No trade setup.
CVNA     | $66.34   | 48.5   | $69.40   | HOLD            | No trade setup.
CRL      | $181.60  | 74.1   | $172.36  | HOLD            | No trade setup.
CASY     | $764.58  | 22.2   | $795.63  | BUY_CALL_OPTION | Phase 1 Catalyst Option: oversold (22.2) with upcoming earnings on 2026-06-09 (7 days away).
CVX      | $187.64  | 47.5   | $187.34  | HOLD            | No trade setup.
CHD      | $96.67   | 57.5   | $95.36   | HOLD            | No trade setup.
CB       | $326.45  | 52.4   | $320.32  | HOLD            | No trade setup.
CIEN     | $492.07  | 41.3   | $560.41  | HOLD            | No trade setup.
CME      | $256.75  | 20.3   | $274.69  | HOLD            | Oversold stock (20.3) bypassed: no upcoming earnings catalyst in catalysts database.
CTSH     | $53.08   | 68.1   | $53.13   | HOLD            | No trade setup.
CSCO     | $121.96  | 54.9   | $115.92  | HOLD            | No trade setup.
KO       | $79.70   | 45.6   | $79.34   | HOLD            | No trade setup.
CINF     | $165.10  | 47.0   | $162.46  | HOLD            | No trade setup.
COIN     | $151.68  | 25.3   | $180.94  | HOLD            | Oversold stock (25.3) bypassed: no upcoming earnings catalyst in catalysts database.
CTAS     | $179.44  | 69.7   | $173.14  | HOLD            | No trade setup.
CMCSA    | $23.78   | 36.2   | $25.00   | HOLD            | No trade setup.
FIX      | $1840.05 | 37.3   | $1858.72 | HOLD            | No trade setup.
COP      | $117.15  | 37.6   | $118.45  | HOLD            | No trade setup.
CPRT     | $30.74   | 40.5   | $32.35   | HOLD            | No trade setup.
